2021-10-11 20:55:04.689 [main] INFO  com.qiongqi.prj.template.Application - Starting Application on DESKTOP-5EN1TB2 with PID 12520 (G:\workspace\qiongqi-project-template\qiongqi-project\target\classes started by Administrator in G:\workspace\qiongqi-project-template\qiongqi-project)
2021-10-11 20:55:04.693 [main] INFO  com.qiongqi.prj.template.Application - The following profiles are active: dev
2021-10-11 20:55:08.466 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-10-11 20:55:08.504 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-10-11 20:55:08.735 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53ms. Found 0 Redis repository interfaces.
2021-10-11 20:55:11.322 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9596 (http)
2021-10-11 20:55:11.347 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9596"]
2021-10-11 20:55:11.348 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-11 20:55:11.348 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2021-10-11 20:55:11.747 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/prj] - Initializing Spring embedded WebApplicationContext
2021-10-11 20:55:11.748 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6851 ms
2021-10-11 20:55:14.828 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2021-10-11 20:55:14.829 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2021-10-11 20:55:16.522 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**', OPTIONS], []
2021-10-11 20:55:16.591 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@15186ce0, org.springframework.security.web.context.SecurityContextPersistenceFilter@79604abe, org.springframework.security.web.header.HeaderWriterFilter@51132514, org.springframework.web.filter.CorsFilter@745926c3, org.springframework.security.web.authentication.logout.LogoutFilter@53dba9cd, com.qiongqi.prj.template.config.Filtter.ValidateCaptchaFilter@93501be, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@786ff0ea, com.qiongqi.prj.template.config.Filtter.JWTAuthorizationFilter@75dd0f94, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2b6262bc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7adae08e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72324965, org.springframework.security.web.session.SessionManagementFilter@5c839677, org.springframework.security.web.access.ExceptionTranslationFilter@55053f81, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60816371]
2021-10-11 20:55:16.688 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9596"]
2021-10-11 20:55:16.745 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9596 (http) with context path '/prj'
2021-10-11 20:55:16.774 [main] INFO  com.qiongqi.prj.template.Application - Started Application in 14.512 seconds (JVM running for 17.72)
2021-10-11 20:56:06.543 [http-nio-9596-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/prj] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-11 20:56:06.543 [http-nio-9596-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-10-11 20:56:06.560 [http-nio-9596-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 17 ms
2021-10-11 20:56:53.616 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'taskExecutor'
